,number,radius (m),lat,lng
0,18,662.4132551755581,47.53934068906484,-122.28969883826983
1,28,662.413262666479,47.53934068906484,-122.27720422371512
2,6,662.4132551755581,47.53934068906484,-122.26470960916039
3,1,662.413262666479,47.53934068906484,-122.23972038005095
4,16,662.413262666479,47.53934068906484,-122.22722576549623
5,5,662.4132551755581,47.53934068906484,-122.21473115094152
6,6,662.413262666479,47.53934068906484,-122.20223653638679
7,9,662.413262666479,47.53934068906484,-122.18974192183208
8,4,662.413262666479,47.53934068906484,-122.17724730727736
9,32,662.4132551755581,47.53934068906484,-122.16475269272264
10,4,662.4132551755581,47.53934068906484,-122.15225807816792
11,4,662.413262666479,47.53934068906484,-122.1397634636132
12,3,662.413262666479,47.53934068906484,-122.12726884905848
13,5,662.4132551755581,47.53934068906484,-122.11477423450377
14,4,662.4132551755581,47.53934068906484,-122.10227961994904
15,3,662.4132551755581,47.53934068906484,-122.08978500539432
16,3,662.4132551755581,47.53934068906484,-122.07729039083961
17,5,662.4132551755581,47.53934068906484,-122.06479577628488
18,57,662.413262666479,47.53934068906484,-122.05230116173017
19,29,662.3599820687509,47.54694162015835,-122.28969883826983
20,21,662.3599820687509,47.54694162015835,-122.27720422371512
21,4,662.3599820687509,47.54694162015835,-122.26470960916039
22,9,662.3599820687509,47.54694162015835,-122.25221499460568
23,1,662.3599820687509,47.54694162015835,-122.23972038005095
24,7,662.3599745772341,47.54694162015835,-122.22722576549623
25,2,662.3599820687509,47.54694162015835,-122.20223653638679
26,5,662.3599820687509,47.54694162015835,-122.18974192183208
27,14,662.3599820687509,47.54694162015835,-122.17724730727736
28,6,662.3599820687509,47.54694162015835,-122.16475269272264
29,6,662.3599820687509,47.54694162015835,-122.15225807816792
30,4,662.3599820687509,47.54694162015835,-122.1397634636132
31,2,662.3599820687509,47.54694162015835,-122.12726884905848
32,4,662.3599820687509,47.54694162015835,-122.11477423450377
33,5,662.3599820687509,47.54694162015835,-122.07729039083961
34,41,662.3599820687509,47.54694162015835,-122.06479577628488
35,82,662.3599820687509,47.54694162015835,-122.05230116173017
36,43,662.306697281207,47.55454255125187,-122.28969883826983
37,31,662.3067047733202,47.55454255125187,-122.27720422371512
38,11,662.306697281207,47.55454255125187,-122.26470960916039
39,13,662.306697281207,47.55454255125187,-122.25221499460568
40,1,662.306697281207,47.55454255125187,-122.23972038005095
41,8,662.306697281207,47.55454255125187,-122.22722576549623
42,4,662.306697281207,47.55454255125187,-122.21473115094152
43,2,662.306697281207,47.55454255125187,-122.20223653638679
44,4,662.3066897890936,47.55454255125187,-122.18974192183208
45,16,662.306697281207,47.55454255125187,-122.17724730727736
46,5,662.306697281207,47.55454255125187,-122.16475269272264
47,3,662.306697281207,47.55454255125187,-122.15225807816792
48,5,662.306697281207,47.55454255125187,-122.1397634636132
49,10,662.306697281207,47.55454255125187,-122.12726884905848
50,9,662.3066897890936,47.55454255125187,-122.11477423450377
51,1,662.306697281207,47.55454255125187,-122.10227961994904
52,2,662.306697281207,47.55454255125187,-122.08978500539432
53,10,662.306697281207,47.55454255125187,-122.07729039083961
54,14,662.306697281207,47.55454255125187,-122.06479577628488
55,22,662.3067047733202,47.55454255125187,-122.05230116173017
56,39,662.2534157955615,47.562143482345384,-122.28969883826983
57,7,662.2534157955615,47.562143482345384,-122.27720422371512
58,10,662.2534083028515,47.562143482345384,-122.26470960916039
59,5,662.2534157955615,47.562143482345384,-122.25221499460568
60,5,662.2534157955615,47.562143482345384,-122.22722576549623
61,3,662.2534083028515,47.562143482345384,-122.21473115094152
62,5,662.2534157955615,47.562143482345384,-122.18974192183208
63,5,662.2534157955615,47.562143482345384,-122.17724730727736
64,4,662.2534157955615,47.562143482345384,-122.16475269272264
65,7,662.2534157955615,47.562143482345384,-122.15225807816792
66,2,662.2534157955615,47.562143482345384,-122.1397634636132
67,3,662.2534157955615,47.562143482345384,-122.12726884905848
68,9,662.2534083028515,47.562143482345384,-122.11477423450377
69,4,662.2534157955615,47.562143482345384,-122.10227961994904
70,4,662.2534157955615,47.562143482345384,-122.08978500539432
71,2,662.2534083028515,47.562143482345384,-122.07729039083961
72,4,662.2534157955615,47.562143482345384,-122.06479577628488
73,2,662.2534157955615,47.562143482345384,-122.05230116173017
74,26,662.2001151326903,47.5697444134389,-122.28969883826983
75,3,662.2001151326903,47.5697444134389,-122.27720422371512
76,2,662.2001226259966,47.5697444134389,-122.26470960916039
77,3,662.2001226259966,47.5697444134389,-122.23972038005095
78,8,662.2001151326903,47.5697444134389,-122.22722576549623
79,5,662.2001151326903,47.5697444134389,-122.21473115094152
80,1,662.2001226259966,47.5697444134389,-122.20223653638679
81,6,662.2001226259966,47.5697444134389,-122.18974192183208
82,17,662.2001226259966,47.5697444134389,-122.17724730727736
83,14,662.2001226259966,47.5697444134389,-122.16475269272264
84,4,662.2001226259966,47.5697444134389,-122.15225807816792
85,5,662.2001226259966,47.5697444134389,-122.1397634636132
86,8,662.2001151326903,47.5697444134389,-122.12726884905848
87,4,662.2001151326903,47.5697444134389,-122.11477423450377
88,11,662.2001226259966,47.5697444134389,-122.10227961994904
89,4,662.2001226259966,47.5697444134389,-122.08978500539432
90,1,662.2001226259966,47.5697444134389,-122.07729039083961
91,2,662.2001226259966,47.5697444134389,-122.06479577628488
92,5,662.2001226259966,47.5697444134389,-122.05230116173017
93,22,662.1468252636299,47.57734534453242,-122.28969883826983
94,4,662.1468327575332,47.57734534453242,-122.27720422371512
95,1,662.1468252636299,47.57734534453242,-122.26470960916039
96,5,662.1468327575332,47.57734534453242,-122.23972038005095
97,6,662.1468252636299,47.57734534453242,-122.22722576549623
98,4,662.1468327575332,47.57734534453242,-122.21473115094152
99,10,662.1468327575332,47.57734534453242,-122.20223653638679
100,9,662.1468252636299,47.57734534453242,-122.18974192183208
101,54,662.1468327575332,47.57734534453242,-122.17724730727736
102,86,662.1468252636299,47.57734534453242,-122.16475269272264
103,5,662.1468252636299,47.57734534453242,-122.15225807816792
104,32,662.1468252636299,47.57734534453242,-122.1397634636132
105,7,662.1468327575332,47.57734534453242,-122.12726884905848
106,4,662.1468252636299,47.57734534453242,-122.11477423450377
107,1,662.1468252636299,47.57734534453242,-122.10227961994904
108,5,662.1468252636299,47.57734534453242,-122.07729039083961
109,4,662.1468327575332,47.57734534453242,-122.06479577628488
110,2,662.1468252636299,47.57734534453242,-122.05230116173017
111,19,662.0935312019654,47.58494627562593,-122.28969883826983
112,1,662.0935312019654,47.58494627562593,-122.26470960916039
113,4,662.0935312019654,47.58494627562593,-122.25221499460568
114,46,662.0935312019654,47.58494627562593,-122.23972038005095
115,31,662.0935312019654,47.58494627562593,-122.22722576549623
116,3,662.0935386964655,47.58494627562593,-122.21473115094152
117,2,662.0935386964655,47.58494627562593,-122.20223653638679
118,7,662.0935312019654,47.58494627562593,-122.18974192183208
119,4,662.0935312019654,47.58494627562593,-122.17724730727736
120,7,662.0935386964655,47.58494627562593,-122.16475269272264
121,11,662.0935312019654,47.58494627562593,-122.15225807816792
122,26,662.0935386964655,47.58494627562593,-122.1397634636132
123,7,662.0935312019654,47.58494627562593,-122.12726884905848
124,4,662.0935312019654,47.58494627562593,-122.11477423450377
125,5,662.0935312019654,47.58494627562593,-122.07729039083961
126,3,662.0935312019654,47.58494627562593,-122.06479577628488
127,2,662.0935312019654,47.58494627562593,-122.05230116173017
128,14,662.0402254516032,47.59254720671945,-122.28969883826983
129,1,662.0402254516032,47.59254720671945,-122.26470960916039
130,4,662.0402329467004,47.59254720671945,-122.25221499460568
131,9,662.0402254516032,47.59254720671945,-122.23972038005095
132,9,662.0402329467004,47.59254720671945,-122.22722576549623
133,2,662.0402329467004,47.59254720671945,-122.21473115094152
134,6,662.0402329467004,47.59254720671945,-122.20223653638679
135,9,662.0402329467004,47.59254720671945,-122.18974192183208
136,4,662.0402329467004,47.59254720671945,-122.17724730727736
137,4,662.0402329467004,47.59254720671945,-122.16475269272264
138,16,662.0402254516032,47.59254720671945,-122.15225807816792
139,7,662.0402329467004,47.59254720671945,-122.1397634636132
140,5,662.0402254516032,47.59254720671945,-122.12726884905848
141,6,662.0402254516032,47.59254720671945,-122.11477423450377
142,1,662.0402254516032,47.59254720671945,-122.08978500539432
143,1,662.0402254516032,47.59254720671945,-122.07729039083961
144,5,662.0402254516032,47.59254720671945,-122.06479577628488
145,3,662.0402329467004,47.59254720671945,-122.05230116173017
146,16,661.9869379925327,47.600148137812965,-122.28969883826983
147,10,661.9869379925327,47.600148137812965,-122.27720422371512
148,2,661.9869379925327,47.600148137812965,-122.22722576549623
149,4,661.9869379925327,47.600148137812965,-122.21473115094152
150,9,661.9869379925327,47.600148137812965,-122.20223653638679
151,19,661.9869379925327,47.600148137812965,-122.18974192183208
152,12,661.9869304968386,47.600148137812965,-122.17724730727736
153,4,661.9869379925327,47.600148137812965,-122.16475269272264
154,9,661.9869379925327,47.600148137812965,-122.15225807816792
155,7,661.9869379925327,47.600148137812965,-122.1397634636132
156,18,661.9869379925327,47.600148137812965,-122.12726884905848
157,4,661.9869304968386,47.600148137812965,-122.11477423450377
158,1,661.9869379925327,47.600148137812965,-122.10227961994904
159,2,661.9869379925327,47.600148137812965,-122.07729039083961
160,2,661.9869379925327,47.600148137812965,-122.06479577628488
161,5,661.9869379925327,47.600148137812965,-122.05230116173017
162,34,661.9336313476743,47.607749068906486,-122.28969883826983
163,4,661.9336313476743,47.607749068906486,-122.27720422371512
164,3,661.9336313476743,47.607749068906486,-122.22722576549623
165,4,661.9336313476743,47.607749068906486,-122.21473115094152
166,61,661.9336313476743,47.607749068906486,-122.20223653638679
167,29,661.9336313476743,47.607749068906486,-122.18974192183208
168,11,661.9336313476743,47.607749068906486,-122.17724730727736
