,name,categories,lat,lng
0,B.White Lawn Service,Construction & Landscaping,47.49541091918945,-122.260009765625
1,Allstars Demolition LLC,Construction & Landscaping,47.497027,-122.261911
2,Campbell Hill,Playground,47.49551550950318,-122.25324384198437
3,Grocery Outlet,Grocery Store,47.4964345,-122.2482847
4,Shell,Gas Station,47.49695957,-122.2471905
5,Standing On Top,Cosmetics Shop,47.497024,-122.24805088
6,Skyway Water Shed,Pool,47.499442,-122.235879
7,Lakeridge,Travel & Transport,47.49948936703404,-122.23619434834025
8,Sparrow's Kitchen Haven,Tea Room,47.492434,-122.229737
9,Lake Thai Cuisine,Thai Restaurant,47.50069189219292,-122.2215700149536
10,"Nebraska Atlantic Transportation, Inc.",Rental Service,47.4945172,-122.2211358
11,Pro-Flight Aviation Inc,Airport Terminal,47.495175423184236,-122.21843403882266
12,Northwest Seaplanes,Airport Terminal,47.497527000000005,-122.21883600000001
13,Fast Locksmith Renton Washington,Locksmith,47.493055357063255,-122.222361266613
14,Allstate Personal Financial Representative: Johnny Lo,Financial or Legal Service,47.4988707500919,-122.220902144908
15,Guadalajara Restaurant,Food,47.498695373535156,-122.22380065917969
16,Why? Grocery,Grocery Store,47.499752044677734,-122.22127532958984
17,St. Vincent de Paul,Thrift / Vintage Store,47.491129,-122.218622
18,Cost Plus World Market,Furniture / Home Store,47.4961125,-122.2056871
19,Jimmy John's,Sandwich Place,47.49653445744945,-122.20510457697799
20,Potbelly Sandwich Shop,Sandwich Place,47.4974141,-122.2051782
21,Top Pot Doughnuts,Donut Shop,47.497583954055465,-122.20449866166008
22,Seattle Sun Tan Renton Landing,Tanning Salon,47.4962522498971,-122.20508483484122
23,Vino At The Landing,Wine Bar,47.498026512278365,-122.20452406378124
24,LA Fitness,Gym,47.4960775634305,-122.20645615248219
25,Sharetea Landing,Bubble Tea Shop,47.49829443071961,-122.20329679903794
26,Regal The Landing & RPX,Movie Theater,47.498751,-122.203344
27,Wingstop,Wings Joint,47.496559722461086,-122.20517835389242
28,Papaya Vietnamese Restaurant,Vietnamese Restaurant,47.498178016713204,-122.20362027608054
29,Panera Bread,Bakery,47.49770006353974,-122.20253893250617
30,The Rock Wood Fired Pizza,Restaurant,47.49804579,-122.2042325
31,Ulta Beauty – Curbside Pickup Only,Cosmetics Shop,47.4971569,-122.2046983
32,Wildfin American Grill,American Restaurant,47.49772678125479,-122.20513953239632
33,The Balanced Athlete,Shoe Store,47.49807482591623,-122.20446793992066
34,Marshalls,Department Store,47.4962943,-122.2043699
